episode,season,rating
1,1,8.9
2,1,8.8
3,1,9.1
4,1,9.6
5,1,9.5
6,1,9.2
7,1,9.2
8,1,9.6
1,2,7.5
2,2,7.6
3,2,7.3
4,2,8.1
5,2,7.6
6,2,8.2
7,2,8.5
8,2,8
1,3,8.5
2,3,8
3,3,7.7
4,3,8
5,3,8.3
6,3,8.3
7,3,8.5
8,3,8
1,4,7.1
2,4,6.8
3,4,6.3
4,4,6.2
5,4,6.8
6,4,5.4
