episode,season,rating
1,1,8.1
2,1,8
3,1,7.7
4,1,8.2
5,1,7.7
6,1,7.9
7,1,8.9
8,1,8.9
9,1,9.7
1,2,8.1
2,2,8.2
3,2,8.5
4,2,8.9
5,2,8.1
6,2,8.3
7,2,9.2
8,2,6.6
9,2,8.1
10,2,9.4
