episode,season,rating
1,1,8
2,1,8.1
3,1,8.8
4,1,8.6
5,1,8.3
6,1,8
7,1,7.8
8,1,8.1
1,2,7.9
2,2,7.9
3,2,8.1
4,2,8.2
5,2,8.1
6,2,8.3
7,2,9.3
