episode,season,rating
1,1,8.6
2,1,8.5
3,1,8.9
4,1,7.7
5,1,7.5
6,1,8.3
7,1,9
8,1,9.2
1,2,8.8
2,2,7.8
3,2,8.7
4,2,8.3
5,2,9.3
6,2,9.1
7,2,8.9
8,2,9.8
1,3,7.4
2,3,8.2
3,3,7
4,3,7.6
5,3,8.1
6,3,6.4
7,3,8.7
8,3,8.4
