episode,season,rating
1,1,7.6
2,1,7.7
3,1,7.7
4,1,8.1
5,1,7.7
6,1,8
7,1,9.5
8,1,9.2
1,2,7.9
2,2,7.9
3,2,7.8
4,2,8.7
5,2,8
6,2,9.6
7,2,9.7
8,2,8.7
9,2,8.8
10,2,9.4
1,3,8.4
2,3,8.2
3,3,8.5
4,3,7.5
5,3,7.5
6,3,9.1
7,3,7.3
8,3,8.2
9,3,7.4
10,3,8
1,4,8
2,4,7.6
3,4,8.6
4,4,7.6
5,4,7.8
6,4,8
7,4,9.3
8,4,7.7
9,4,8.8
10,4,8.7
