episode,season,rating
1,1,7.8
2,1,7.6
3,1,7.6
4,1,7.9
5,1,8.1
6,1,9.1
7,1,8.4
8,1,8.1
9,1,8.4
10,1,9.2
1,2,8.3
2,2,8.3
3,2,9
4,2,9
5,2,9.3
6,2,8.5
7,2,8.1
8,2,8.6
9,2,9.1
10,2,9.7
1,3,8.8
2,3,8.6
3,3,9
4,3,8.2
5,3,9
6,3,8.1
7,3,8.8
8,3,9.1
9,3,9.7
1,4,8.6
2,4,8.9
3,4,9.9
4,4,9
5,4,9
6,4,8.6
7,4,9.1
8,4,9.4
9,4,9.4
10,4,9.5
