season,episode,rating
1,1,7.5
1,2,7.7
1,3,8.1
1,4,8
1,5,8.2
1,6,8.2
2,1,7.9
2,2,7.8
2,3,8.2
2,4,8.2
2,5,8.6
2,6,8.6
3,1,8.2
3,2,8.3
3,3,8.6
3,4,8.3
3,5,8.7
3,6,8.6
4,1,8.4
4,2,8.1
4,3,8.1
4,4,8.1
4,5,8.6
4,6,8.8
