episode,season,rating
1,1,7.3
2,1,7.4
3,1,7.7
4,1,7.9
5,1,8
6,1,7.8
1,2,7.6
2,2,7.7
3,2,7.9
4,2,8.1
5,2,8.4
6,2,8
7,2,8.8
1,3,7.3
2,3,7.3
3,3,6.9
4,3,7.5
5,3,7.9
6,3,7.7
7,3,7.5
8,3,7.9
