episode,season,rating
1,1,8.5
2,1,8.3
3,1,8.8
4,1,8.9
5,1,8.6
6,1,8.8
7,1,9
8,1,9.3
1,2,8.1
2,2,8.2
3,2,8.5
4,2,8.5
5,2,8.8
6,2,9.1
7,2,6.1
8,2,9.2
9,2,9.3
1,3,7.8
2,3,7.9
3,3,8.2
4,3,8.9
5,3,8.5
6,3,8.5
7,3,8.7
8,3,9.2
1,4,8.1
2,4,8.1
3,4,8.3
4,4,9.5
5,4,8.1
6,4,8.5
7,4,9.6
8,4,8.6
9,4,9.1
