episode,season,rating
1,1,8.2
2,1,8
3,1,8.5
4,1,8.1
5,1,8.8
6,1,9
7,1,8.6
8,1,9.1
9,1,8.6
10,1,9.1
1,2,8.6
2,2,8.8
3,2,9
4,2,9.4
5,2,9.2
6,2,9.5
7,2,9.1
8,2,9.4
1,3,8.8
2,3,8.6
3,3,8.6
4,3,8.8
5,3,9.2
6,3,9
7,3,9.4
8,3,9.6
