season,episode,rating
1,1,8.1
1,2,7.9
1,3,7.7
1,4,7.4
1,5,8
1,6,8.1
1,7,7.5
1,8,7.7
1,9,8.6
1,10,8.6
2,1,8.1
2,2,7.8
2,3,7.6
2,4,8
2,5,7.8
2,6,7.9
2,7,8.2
2,8,8.7
2,9,9
2,10,8.7
3,1,7.8
3,2,8.1
3,3,7
3,4,7.7
3,5,7.2
3,6,7.1
3,7,7.2
3,8,7.9
3,9,8.2
3,10,8.7
4,1,7.5
4,2,7.3
4,3,7.4
4,4,7.4
4,5,7.3
4,6,7
4,7,7.6
4,8,7.6
4,9,7.8
4,10,7.6
5,1,7.3
5,2,7.8
5,3,7.4
5,4,7.6
5,5,8.3
5,6,7.8
5,7,8.1
5,8,7.5
5,9,8.3
5,10,5.3
