episode,season,rating
1,1,8.1
2,1,7.8
3,1,8.1
4,1,8
5,1,8
6,1,8
7,1,8.1
8,1,8.2
9,1,8.4
1,2,8.2
2,2,8
3,2,7.9
4,2,8.3
5,2,8.1
6,2,8.5
7,2,9.2
8,2,8.2
9,2,8.8
10,2,8.9
1,3,7.8
2,3,7.9
3,3,8.1
4,3,8.4
5,3,8.1
6,3,7.9
7,3,8.3
8,3,8.5
9,3,8.7
10,3,9.2
1,4,9.2
2,4,8.5
3,4,8.1
4,4,8
5,4,7.8
6,4,7.9
7,4,8.1
8,4,8
9,4,7.7
10,4,8.2
1,5,7.9
2,5,7.7
3,5,7.8
4,5,7.9
5,5,7.9
6,5,7.8
7,5,7.6
8,5,7.8
9,5,7
10,5,7.3
11,5,8.3
12,5,7.8
13,5,7.1
14,5,7.7
